month,plant,country,region,market,category,product_line,sku_family,units_sold,revenue_cad,gross_margin_pct
2025-10,Detroit,US,Michigan,Auto Belt,Logistics Add-ons,Expedite Surcharge,LX-E,49,4761.39,0.202
2025-11,Oakville,CA,Ontario,GTA West,Cementitious,Binder Blends,CB-100,241,61292.06,0.412
2025-11,Oakville,CA,Ontario,GTA West,Cementitious,Specialty Mortars,SM-200,150,42063.04,0.192
2025-11,Oakville,CA,Ontario,GTA West,Aggregates,Fine Aggregate,AG-F,184,46145.28,0.392
2025-11,Oakville,CA,Ontario,GTA West,Aggregates,Coarse Aggregate,AG-C,280,50603.2,0.182
2025-11,Oakville,CA,Ontario,GTA West,Packaged,Bagged Mix,PK-B,95,21789.28,0.392
2025-11,Oakville,CA,Ontario,GTA West,Packaged,Retail Kits,PK-R,227,77382.49,0.268
2025-11,Oakville,CA,Ontario,GTA West,Logistics Add-ons,Expedite Surcharge,LX-E,81,4805.88,0.313
2025-11,Mississauga,CA,Ontario,GTA Core,Cementitious,Binder Blends,CB-100,77,16510.87,0.288
2025-11,Mississauga,CA,Ontario,GTA Core,Cementitious,Specialty Mortars,SM-200,183,66150.71,0.33
2025-11,Mississauga,CA,Ontario,GTA Core,Aggregates,Fine Aggregate,AG-F,100,12810.22,0.203
2025-11,Mississauga,CA,Ontario,GTA Core,Aggregates,Coarse Aggregate,AG-C,231,81148.12,0.261
2025-11,Mississauga,CA,Ontario,GTA Core,Packaged,Bagged Mix,PK-B,227,76706.33,0.228
2025-11,Mississauga,CA,Ontario,GTA Core,Packaged,Retail Kits,PK-R,300,65839.4,0.19
2025-11,Mississauga,CA,Ontario,GTA Core,Logistics Add-ons,Expedite Surcharge,LX-E,52,7045.78,0.305
2025-11,Hamilton,CA,Ontario,Golden Horseshoe,Cementitious,Binder Blends,CB-100,116,33419.28,0.304
2025-11,Hamilton,CA,Ontario,Golden Horseshoe,Cementitious,Specialty Mortars,SM-200,207,82180.76,0.256
2025-11,Hamilton,CA,Ontario,Golden Horseshoe,Aggregates,Fine Aggregate,AG-F,241,100462.36,0.357
2025-11,Hamilton,CA,Ontario,Golden Horseshoe,Aggregates,Coarse Aggregate,AG-C,193,54792.27,0.302
2025-11,Hamilton,CA,Ontario,Golden Horseshoe,Packaged,Bagged Mix,PK-B,300,79000.15,0.35
2025-11,Hamilton,CA,Ontario,Golden Horseshoe,Packaged,Retail Kits,PK-R,193,47109.18,0.184
2025-11,Hamilton,CA,Ontario,Golden Horseshoe,Logistics Add-ons,Expedite Surcharge,LX-E,63,6801.65,0.371
2025-11,Buffalo,US,New York,Niagara Cross-Border,Cementitious,Binder Blends,CB-100,53,15103.13,0.244
2025-11,Buffalo,US,New York,Niagara Cross-Border,Cementitious,Specialty Mortars,SM-200,156,50960.37,0.32
2025-11,Buffalo,US,New York,Niagara Cross-Border,Aggregates,Fine Aggregate,AG-F,127,33098.46,0.353
2025-11,Buffalo,US,New York,Niagara Cross-Border,Aggregates,Coarse Aggregate,AG-C,234,31474.14,0.343
2025-11,Buffalo,US,New York,Niagara Cross-Border,Packaged,Bagged Mix,PK-B,56,15501.42,0.348
2025-11,Buffalo,US,New York,Niagara Cross-Border,Packaged,Retail Kits,PK-R,137,12514.13,0.255
2025-11,Buffalo,US,New York,Niagara Cross-Border,Logistics Add-ons,Expedite Surcharge,LX-E,36,3106.7,0.366
2025-11,Detroit,US,Michigan,Auto Belt,Cementitious,Binder Blends,CB-100,281,106047.7,0.357
2025-11,Detroit,US,Michigan,Auto Belt,Cementitious,Specialty Mortars,SM-200,71,22821.86,0.304
2025-11,Detroit,US,Michigan,Auto Belt,Aggregates,Fine Aggregate,AG-F,206,86390.46,0.295
2025-11,Detroit,US,Michigan,Auto Belt,Aggregates,Coarse Aggregate,AG-C,232,44104.85,0.222
2025-11,Detroit,US,Michigan,Auto Belt,Packaged,Bagged Mix,PK-B,312,62300.02,0.265
2025-11,Detroit,US,Michigan,Auto Belt,Packaged,Retail Kits,PK-R,175,50640.74,0.226
2025-11,Detroit,US,Michigan,Auto Belt,Logistics Add-ons,Expedite Surcharge,LX-E,48,3029.2,0.413
2025-12,Oakville,CA,Ontario,GTA West,Cementitious,Binder Blends,CB-100,192,65921.93,0.349
2025-12,Oakville,CA,Ontario,GTA West,Cementitious,Specialty Mortars,SM-200,290,55450.51,0.264
2025-12,Oakville,CA,Ontario,GTA West,Aggregates,Fine Aggregate,AG-F,180,32653.7,0.318
2025-12,Oakville,CA,Ontario,GTA West,Aggregates,Coarse Aggregate,AG-C,318,67478.82,0.415
2025-12,Oakville,CA,Ontario,GTA West,Packaged,Bagged Mix,PK-B,216,87435.5,0.373
2025-12,Oakville,CA,Ontario,GTA West,Packaged,Retail Kits,PK-R,188,18629.35,0.409
2025-12,Oakville,CA,Ontario,GTA West,Logistics Add-ons,Expedite Surcharge,LX-E,66,7721.77,0.359
2025-12,Mississauga,CA,Ontario,GTA Core,Cementitious,Binder Blends,CB-100,149,22751.22,0.309
2025-12,Mississauga,CA,Ontario,GTA Core,Cementitious,Specialty Mortars,SM-200,179,23446.57,0.328
2025-12,Mississauga,CA,Ontario,GTA Core,Aggregates,Fine Aggregate,AG-F,162,26928.2,0.341
2025-12,Mississauga,CA,Ontario,GTA Core,Aggregates,Coarse Aggregate,AG-C,311,49946.6,0.236
2025-12,Mississauga,CA,Ontario,GTA Core,Packaged,Bagged Mix,PK-B,91,20334.49,0.352
2025-12,Mississauga,CA,Ontario,GTA Core,Packaged,Retail Kits,PK-R,91,28501.14,0.213
2025-12,Mississauga,CA,Ontario,GTA Core,Logistics Add-ons,Expedite Surcharge,LX-E,70,6627.67,0.228
2025-12,Hamilton,CA,Ontario,Golden Horseshoe,Cementitious,Binder Blends,CB-100,187,36014.55,0.335
2025-12,Hamilton,CA,Ontario,Golden Horseshoe,Cementitious,Specialty Mortars,SM-200,85,25799.21,0.236
2025-12,Hamilton,CA,Ontario,Golden Horseshoe,Aggregates,Fine Aggregate,AG-F,59,23064.99,0.222
2025-12,Hamilton,CA,Ontario,Golden Horseshoe,Aggregates,Coarse Aggregate,AG-C,130,51722.33,0.189
2025-12,Hamilton,CA,Ontario,Golden Horseshoe,Packaged,Bagged Mix,PK-B,243,84798.94,0.225
2025-12,Hamilton,CA,Ontario,Golden Horseshoe,Packaged,Retail Kits,PK-R,188,71197.28,0.182
2025-12,Hamilton,CA,Ontario,Golden Horseshoe,Logistics Add-ons,Expedite Surcharge,LX-E,52,3669.65,0.417
2025-12,Buffalo,US,New York,Niagara Cross-Border,Cementitious,Binder Blends,CB-100,318,82885.65,0.393
2025-12,Buffalo,US,New York,Niagara Cross-Border,Cementitious,Specialty Mortars,SM-200,108,39971.34,0.292
2025-12,Buffalo,US,New York,Niagara Cross-Border,Aggregates,Fine Aggregate,AG-F,138,49121.47,0.259
2025-12,Buffalo,US,New York,Niagara Cross-Border,Aggregates,Coarse Aggregate,AG-C,274,82796.11,0.352
2025-12,Buffalo,US,New York,Niagara Cross-Border,Packaged,Bagged Mix,PK-B,47,15593.05,0.37
2025-12,Buffalo,US,New York,Niagara Cross-Border,Packaged,Retail Kits,PK-R,138,19843.13,0.385
2025-12,Buffalo,US,New York,Niagara Cross-Border,Logistics Add-ons,Expedite Surcharge,LX-E,75,5699.31,0.276
2025-12,Detroit,US,Michigan,Auto Belt,Cementitious,Binder Blends,CB-100,88,12927.35,0.214
2025-12,Detroit,US,Michigan,Auto Belt,Cementitious,Specialty Mortars,SM-200,205,81692.81,0.182
2025-12,Detroit,US,Michigan,Auto Belt,Aggregates,Fine Aggregate,AG-F,236,38680.31,0.361
2025-12,Detroit,US,Michigan,Auto Belt,Aggregates,Coarse Aggregate,AG-C,208,38719.59,0.353
2025-12,Detroit,US,Michigan,Auto Belt,Packaged,Bagged Mix,PK-B,45,7767.91,0.266
2025-12,Detroit,US,Michigan,Auto Belt,Packaged,Retail Kits,PK-R,160,16929.86,0.208
2025-12,Detroit,US,Michigan,Auto Belt,Logistics Add-ons,Expedite Surcharge,LX-E,74,11128.73,0.393
2026-01,Oakville,CA,Ontario,GTA West,Cementitious,Binder Blends,CB-100,199,62933.21,0.333
2026-01,Oakville,CA,Ontario,GTA West,Cementitious,Specialty Mortars,SM-200,191,39752.3,0.233
2026-01,Oakville,CA,Ontario,GTA West,Aggregates,Fine Aggregate,AG-F,108,26480.62,0.289
2026-01,Oakville,CA,Ontario,GTA West,Aggregates,Coarse Aggregate,AG-C,231,51815.21,0.312
2026-01,Oakville,CA,Ontario,GTA West,Packaged,Bagged Mix,PK-B,281,95178.19,0.372
2026-01,Oakville,CA,Ontario,GTA West,Packaged,Retail Kits,PK-R,151,51373.67,0.343
2026-01,Oakville,CA,Ontario,GTA West,Logistics Add-ons,Expedite Surcharge,LX-E,77,9468.75,0.199
2026-01,Mississauga,CA,Ontario,GTA Core,Cementitious,Binder Blends,CB-100,97,10251.83,0.311
2026-01,Mississauga,CA,Ontario,GTA Core,Cementitious,Specialty Mortars,SM-200,298,45511.31,0.309
2026-01,Mississauga,CA,Ontario,GTA Core,Aggregates,Fine Aggregate,AG-F,124,24170.01,0.305
2026-01,Mississauga,CA,Ontario,GTA Core,Aggregates,Coarse Aggregate,AG-C,99,30976.99,0.352
2026-01,Mississauga,CA,Ontario,GTA Core,Packaged,Bagged Mix,PK-B,290,33484.98,0.302
2026-01,Mississauga,CA,Ontario,GTA Core,Packaged,Retail Kits,PK-R,68,16109.19,0.303
2026-01,Mississauga,CA,Ontario,GTA Core,Logistics Add-ons,Expedite Surcharge,LX-E,81,7516.58,0.374
2026-01,Hamilton,CA,Ontario,Golden Horseshoe,Cementitious,Binder Blends,CB-100,51,11099.78,0.376
2026-01,Hamilton,CA,Ontario,Golden Horseshoe,Cementitious,Specialty Mortars,SM-200,151,42088.88,0.191
2026-01,Hamilton,CA,Ontario,Golden Horseshoe,Aggregates,Fine Aggregate,AG-F,216,69039.85,0.31
2026-01,Hamilton,CA,Ontario,Golden Horseshoe,Aggregates,Coarse Aggregate,AG-C,70,27865.97,0.197
2026-01,Hamilton,CA,Ontario,Golden Horseshoe,Packaged,Bagged Mix,PK-B,281,26872.36,0.278
2026-01,Hamilton,CA,Ontario,Golden Horseshoe,Packaged,Retail Kits,PK-R,109,37229.2,0.415
2026-01,Hamilton,CA,Ontario,Golden Horseshoe,Logistics Add-ons,Expedite Surcharge,LX-E,58,5281.89,0.4
2026-01,Buffalo,US,New York,Niagara Cross-Border,Cementitious,Binder Blends,CB-100,233,49126.01,0.344
2026-01,Buffalo,US,New York,Niagara Cross-Border,Cementitious,Specialty Mortars,SM-200,316,40938.3,0.386
2026-01,Buffalo,US,New York,Niagara Cross-Border,Aggregates,Fine Aggregate,AG-F,100,14478.87,0.309
2026-01,Buffalo,US,New York,Niagara Cross-Border,Aggregates,Coarse Aggregate,AG-C,310,39575.0,0.415
2026-01,Buffalo,US,New York,Niagara Cross-Border,Packaged,Bagged Mix,PK-B,41,13871.12,0.415
2026-01,Buffalo,US,New York,Niagara Cross-Border,Packaged,Retail Kits,PK-R,277,86042.42,0.311
2026-01,Buffalo,US,New York,Niagara Cross-Border,Logistics Add-ons,Expedite Surcharge,LX-E,39,2571.62,0.263
2026-01,Detroit,US,Michigan,Auto Belt,Cementitious,Binder Blends,CB-100,181,26813.51,0.39
2026-01,Detroit,US,Michigan,Auto Belt,Cementitious,Specialty Mortars,SM-200,97,9291.9,0.338
2026-01,Detroit,US,Michigan,Auto Belt,Aggregates,Fine Aggregate,AG-F,48,7949.91,0.196
2026-01,Detroit,US,Michigan,Auto Belt,Aggregates,Coarse Aggregate,AG-C,57,13369.79,0.341
2026-01,Detroit,US,Michigan,Auto Belt,Packaged,Bagged Mix,PK-B,64,10687.1,0.191
2026-01,Detroit,US,Michigan,Auto Belt,Packaged,Retail Kits,PK-R,264,43164.97,0.232
2026-01,Detroit,US,Michigan,Auto Belt,Logistics Add-ons,Expedite Surcharge,LX-E,47,3020.7,0.4
2026-02,Oakville,CA,Ontario,GTA West,Cementitious,Binder Blends,CB-100,203,56526.17,0.365
2026-02,Oakville,CA,Ontario,GTA West,Cementitious,Specialty Mortars,SM-200,204,33530.02,0.39
2026-02,Oakville,CA,Ontario,GTA West,Aggregates,Fine Aggregate,AG-F,306,48669.09,0.252
2026-02,Oakville,CA,Ontario,GTA West,Aggregates,Coarse Aggregate,AG-C,71,19276.54,0.322
2026-02,Oakville,CA,Ontario,GTA West,Packaged,Bagged Mix,PK-B,129,38017.29,0.283
2026-02,Oakville,CA,Ontario,GTA West,Packaged,Retail Kits,PK-R,293,29506.91,0.263
2026-02,Oakville,CA,Ontario,GTA West,Logistics Add-ons,Expedite Surcharge,LX-E,50,6101.93,0.278
2026-02,Mississauga,CA,Ontario,GTA Core,Cementitious,Binder Blends,CB-100,193,40745.03,0.361
2026-02,Mississauga,CA,Ontario,GTA Core,Cementitious,Specialty Mortars,SM-200,282,46734.26,0.234
2026-02,Mississauga,CA,Ontario,GTA Core,Aggregates,Fine Aggregate,AG-F,113,40107.66,0.4
2026-02,Mississauga,CA,Ontario,GTA Core,Aggregates,Coarse Aggregate,AG-C,251,102711.3,0.314
2026-02,Mississauga,CA,Ontario,GTA Core,Packaged,Bagged Mix,PK-B,108,23233.0,0.241
2026-02,Mississauga,CA,Ontario,GTA Core,Packaged,Retail Kits,PK-R,209,63044.11,0.401
2026-02,Mississauga,CA,Ontario,GTA Core,Logistics Add-ons,Expedite Surcharge,LX-E,34,1409.03,0.271
2026-02,Hamilton,CA,Ontario,Golden Horseshoe,Cementitious,Binder Blends,CB-100,60,22659.77,0.225
2026-02,Hamilton,CA,Ontario,Golden Horseshoe,Cementitious,Specialty Mortars,SM-200,151,37085.16,0.389
2026-02,Hamilton,CA,Ontario,Golden Horseshoe,Aggregates,Fine Aggregate,AG-F,210,39179.28,0.398
2026-02,Hamilton,CA,Ontario,Golden Horseshoe,Aggregates,Coarse Aggregate,AG-C,148,59044.38,0.411
2026-02,Hamilton,CA,Ontario,Golden Horseshoe,Packaged,Bagged Mix,PK-B,100,33520.45,0.361
2026-02,Hamilton,CA,Ontario,Golden Horseshoe,Packaged,Retail Kits,PK-R,164,52157.71,0.349
2026-02,Hamilton,CA,Ontario,Golden Horseshoe,Logistics Add-ons,Expedite Surcharge,LX-E,80,6016.15,0.248
2026-02,Buffalo,US,New York,Niagara Cross-Border,Cementitious,Binder Blends,CB-100,278,73328.84,0.266
2026-02,Buffalo,US,New York,Niagara Cross-Border,Cementitious,Specialty Mortars,SM-200,173,35548.2,0.392
2026-02,Buffalo,US,New York,Niagara Cross-Border,Aggregates,Fine Aggregate,AG-F,278,32813.38,0.416
2026-02,Buffalo,US,New York,Niagara Cross-Border,Aggregates,Coarse Aggregate,AG-C,280,95240.8,0.257
2026-02,Buffalo,US,New York,Niagara Cross-Border,Packaged,Bagged Mix,PK-B,144,30122.81,0.279
2026-02,Buffalo,US,New York,Niagara Cross-Border,Packaged,Retail Kits,PK-R,153,50997.89,0.184
2026-02,Buffalo,US,New York,Niagara Cross-Border,Logistics Add-ons,Expedite Surcharge,LX-E,35,2668.16,0.271
2026-02,Detroit,US,Michigan,Auto Belt,Cementitious,Binder Blends,CB-100,165,41623.89,0.337
2026-02,Detroit,US,Michigan,Auto Belt,Cementitious,Specialty Mortars,SM-200,212,36295.35,0.377
2026-02,Detroit,US,Michigan,Auto Belt,Aggregates,Fine Aggregate,AG-F,291,69658.91,0.356
2026-02,Detroit,US,Michigan,Auto Belt,Aggregates,Coarse Aggregate,AG-C,220,31174.88,0.353
2026-02,Detroit,US,Michigan,Auto Belt,Packaged,Bagged Mix,PK-B,290,42530.24,0.393
2026-02,Detroit,US,Michigan,Auto Belt,Packaged,Retail Kits,PK-R,70,18236.5,0.381
2026-02,Detroit,US,Michigan,Auto Belt,Logistics Add-ons,Expedite Surcharge,LX-E,16,2088.68,0.279
2026-03,Oakville,CA,Ontario,GTA West,Cementitious,Binder Blends,CB-100,158,17027.54,0.216
2026-03,Oakville,CA,Ontario,GTA West,Cementitious,Specialty Mortars,SM-200,151,38417.5,0.27
2026-03,Oakville,CA,Ontario,GTA West,Aggregates,Fine Aggregate,AG-F,287,87781.89,0.184
2026-03,Oakville,CA,Ontario,GTA West,Aggregates,Coarse Aggregate,AG-C,312,84177.78,0.183
2026-03,Oakville,CA,Ontario,GTA West,Packaged,Bagged Mix,PK-B,311,101676.65,0.309
2026-03,Oakville,CA,Ontario,GTA West,Packaged,Retail Kits,PK-R,186,16878.16,0.375
2026-03,Oakville,CA,Ontario,GTA West,Logistics Add-ons,Expedite Surcharge,LX-E,32,1548.07,0.203
2026-03,Mississauga,CA,Ontario,GTA Core,Cementitious,Binder Blends,CB-100,116,19224.05,0.329
2026-03,Mississauga,CA,Ontario,GTA Core,Cementitious,Specialty Mortars,SM-200,169,60518.36,0.244
2026-03,Mississauga,CA,Ontario,GTA Core,Aggregates,Fine Aggregate,AG-F,243,27087.56,0.41
2026-03,Mississauga,CA,Ontario,GTA Core,Aggregates,Coarse Aggregate,AG-C,275,75425.83,0.418
2026-03,Mississauga,CA,Ontario,GTA Core,Packaged,Bagged Mix,PK-B,155,28751.18,0.379
2026-03,Mississauga,CA,Ontario,GTA Core,Packaged,Retail Kits,PK-R,81,24624.12,0.386
2026-03,Mississauga,CA,Ontario,GTA Core,Logistics Add-ons,Expedite Surcharge,LX-E,58,4764.48,0.294
2026-03,Hamilton,CA,Ontario,Golden Horseshoe,Cementitious,Binder Blends,CB-100,44,14099.94,0.2
2026-03,Hamilton,CA,Ontario,Golden Horseshoe,Cementitious,Specialty Mortars,SM-200,262,78873.51,0.26
2026-03,Hamilton,CA,Ontario,Golden Horseshoe,Aggregates,Fine Aggregate,AG-F,88,33858.44,0.401
2026-03,Hamilton,CA,Ontario,Golden Horseshoe,Aggregates,Coarse Aggregate,AG-C,157,24464.48,0.388
2026-03,Hamilton,CA,Ontario,Golden Horseshoe,Packaged,Bagged Mix,PK-B,283,49756.17,0.402
2026-03,Hamilton,CA,Ontario,Golden Horseshoe,Packaged,Retail Kits,PK-R,183,70687.3,0.315
2026-03,Hamilton,CA,Ontario,Golden Horseshoe,Logistics Add-ons,Expedite Surcharge,LX-E,50,1847.86,0.23
2026-03,Buffalo,US,New York,Niagara Cross-Border,Cementitious,Binder Blends,CB-100,113,38081.59,0.351
2026-03,Buffalo,US,New York,Niagara Cross-Border,Cementitious,Specialty Mortars,SM-200,243,96270.06,0.252
2026-03,Buffalo,US,New York,Niagara Cross-Border,Aggregates,Fine Aggregate,AG-F,163,44799.43,0.384
2026-03,Buffalo,US,New York,Niagara Cross-Border,Aggregates,Coarse Aggregate,AG-C,316,61976.92,0.361
2026-03,Buffalo,US,New York,Niagara Cross-Border,Packaged,Bagged Mix,PK-B,111,38829.67,0.345
2026-03,Buffalo,US,New York,Niagara Cross-Border,Packaged,Retail Kits,PK-R,80,20221.25,0.414
2026-03,Buffalo,US,New York,Niagara Cross-Border,Logistics Add-ons,Expedite Surcharge,LX-E,39,5453.54,0.262
2026-03,Detroit,US,Michigan,Auto Belt,Cementitious,Binder Blends,CB-100,243,99529.98,0.258
2026-03,Detroit,US,Michigan,Auto Belt,Cementitious,Specialty Mortars,SM-200,179,62200.46,0.288
2026-03,Detroit,US,Michigan,Auto Belt,Aggregates,Fine Aggregate,AG-F,156,31854.69,0.406
2026-03,Detroit,US,Michigan,Auto Belt,Aggregates,Coarse Aggregate,AG-C,261,38424.99,0.321
2026-03,Detroit,US,Michigan,Auto Belt,Packaged,Bagged Mix,PK-B,234,26607.56,0.328
2026-03,Detroit,US,Michigan,Auto Belt,Packaged,Retail Kits,PK-R,166,53765.97,0.2
2026-03,Detroit,US,Michigan,Auto Belt,Logistics Add-ons,Expedite Surcharge,LX-E,29,3696.25,0.256
2026-04,Oakville,CA,Ontario,GTA West,Cementitious,Binder Blends,CB-100,94,10871.98,0.406
